"U:0","U:1","U:2","p","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.022727,6420,1,0,86,31,0
8.0847e-05,0.024733,0,0.022732,6420,1,0.015999,86.016,31,0
0.00016169,0.049466,0,0.022737,6420,1,0.031998,86.032,31,0
0.00024254,0.074198,0,0.022742,6420,1,0.047997,86.048,31,0
0.00032343,0.098943,0,0.022747,6420,1,0.064003,86.064,31,0
0.00040428,0.12368,0,0.022752,6420,1,0.080002,86.08,31,0
0.00048512,0.14841,0,0.022757,6420,1,0.096001,86.096,31,0
0.00056597,0.17314,0,0.022762,6420,1,0.112,86.112,31,0
0.00064682,0.19787,0,0.022767,6420,1,0.128,86.128,31,0
0.00072766,0.22261,0,0.022772,6420,1,0.144,86.144,31,0
0.00084668,0.24637,0,0.022778,8603,1,0.16,86.16,31,0
0.0010308,0.26845,0,0.022786,8603,1,0.176,86.176,31,0
0.001215,0.29052,0,0.022794,8603,1,0.192,86.192,31,0
0.0013991,0.3126,0,0.022802,8603,1,0.208,86.208,31,0
0.0015832,0.33467,0,0.02281,8603,1,0.224,86.224,31,0
0.0017674,0.35674,0,0.022818,8603,1,0.24,86.24,31,0
0.0019515,0.37882,0,0.022826,8603,1,0.256,86.256,31,0
0.0021357,0.40091,0,0.022833,8603,1,0.272,86.272,31,0
0.0023199,0.42298,0,0.022841,8603,1,0.288,86.288,31,0
0.002504,0.44505,0,0.022849,8603,1,0.304,86.304,31,0
0.0027143,0.4633,0,0.022853,6421,1,0.32,86.32,31,0
0.0029338,0.48019,0,0.022855,6421,1,0.336,86.336,31,0
0.0031533,0.49708,0,0.022858,6421,1,0.352,86.352,31,0
0.0033728,0.51397,0,0.02286,6421,1,0.368,86.368,31,0
0.0035924,0.53087,0,0.022862,6421,1,0.384,86.384,31,0
0.0038119,0.54776,0,0.022865,6421,1,0.4,86.4,31,0
0.0040314,0.56465,0,0.022867,6421,1,0.416,86.416,31,0
0.0042509,0.58153,0,0.022869,6421,1,0.432,86.432,31,0
0.0044704,0.59842,0,0.022872,6421,1,0.448,86.448,31,0
0.0046899,0.61531,0,0.022874,6421,1,0.464,86.464,31,0
0.0049095,0.63221,0,0.022876,6421,1,0.48,86.48,31,0
0.0051244,0.6487,0,0.022878,8604,1,0.496,86.496,31,0
0.0053179,0.66337,0,0.022876,8604,1,0.512,86.512,31,0
0.0055115,0.67805,0,0.022874,8604,1,0.528,86.528,31,0
0.0057051,0.69272,0,0.022872,8604,1,0.544,86.544,31,0
0.0058987,0.7074,0,0.02287,8604,1,0.56,86.56,31,0
0.0060923,0.72207,0,0.022868,8604,1,0.576,86.576,31,0
0.006286,0.73676,0,0.022866,8604,1,0.592,86.592,31,0
0.0064796,0.75143,0,0.022864,8604,1,0.608,86.608,31,0
0.0066732,0.76611,0,0.022862,8604,1,0.624,86.624,31,0
0.0068667,0.78078,0,0.02286,8604,1,0.64,86.64,31,0
0.0070603,0.79546,0,0.022858,8604,1,0.656,86.656,31,0
0.0072539,0.81014,0,0.022856,8604,1,0.672,86.672,31,0
0.0073626,0.8219,0,0.022851,6422,1,0.688,86.688,31,0
0.0074203,0.8319,0,0.022844,6422,1,0.704,86.704,31,0
0.0074779,0.84191,0,0.022837,6422,1,0.72,86.72,31,0
0.0075355,0.85191,0,0.022831,6422,1,0.736,86.736,31,0
0.0075932,0.86191,0,0.022824,6422,1,0.752,86.752,31,0
0.0076508,0.87192,0,0.022817,6422,1,0.768,86.768,31,0
0.0077085,0.88192,0,0.022811,6422,1,0.784,86.784,31,0
0.0077661,0.89193,0,0.022804,6422,1,0.8,86.8,31,0
0.0078238,0.90194,0,0.022797,6422,1,0.816,86.816,31,0
0.0078814,0.91194,0,0.022791,6422,1,0.832,86.832,31,0
0.0079391,0.92194,0,0.022784,6422,1,0.848,86.848,31,0
0.0079967,0.93195,0,0.022777,6422,1,0.864,86.864,31,0
0.0080543,0.94195,0,0.022771,6422,1,0.88,86.88,31,0
0.008112,0.95196,0,0.022764,6422,1,0.896,86.896,31,0
0.0080575,0.96029,0,0.02275,8605,1,0.912,86.912,31,0
0.007967,0.96808,0,0.022734,8605,1,0.928,86.928,31,0
0.0078764,0.97587,0,0.022718,8605,1,0.944,86.944,31,0
0.0077858,0.98366,0,0.022702,8605,1,0.96,86.96,31,0
0.0076952,0.99146,0,0.022686,8605,1,0.976,86.976,31,0
0.0076046,0.99925,0,0.02267,8605,1,0.992,86.992,31,0
0.007514,1.007,0,0.022654,8605,1,1.008,87.008,31,0
0.0074234,1.0148,0,0.022638,8605,1,1.024,87.024,31,0
0.0073328,1.0226,0,0.022622,8605,1,1.04,87.04,31,0
0.0072423,1.0304,0,0.022606,8605,1,1.056,87.056,31,0
0.0071517,1.0382,0,0.02259,8605,1,1.072,87.072,31,0
0.0070611,1.046,0,0.022574,8605,1,1.088,87.088,31,0
0.0069705,1.0538,0,0.022558,8605,1,1.104,87.104,31,0
0.0068799,1.0616,0,0.022542,8605,1,1.12,87.12,31,0
0.0067101,1.067,0,0.022518,6423,1,1.136,87.136,31,0
0.0065303,1.072,0,0.022492,6423,1,1.152,87.152,31,0
0.0063506,1.0771,0,0.022467,6423,1,1.168,87.168,31,0
0.0061708,1.0821,0,0.022442,6423,1,1.184,87.184,31,0
0.0059911,1.0872,0,0.022417,6423,1,1.2,87.2,31,0
0.0058112,1.0923,0,0.022392,6423,1,1.216,87.216,31,0
0.0056314,1.0973,0,0.022367,6423,1,1.232,87.232,31,0
0.0054517,1.1024,0,0.022342,6423,1,1.248,87.248,31,0
0.0052719,1.1075,0,0.022317,6423,1,1.264,87.264,31,0
0.0050922,1.1125,0,0.022292,6423,1,1.28,87.28,31,0
0.0049124,1.1176,0,0.022267,6423,1,1.296,87.296,31,0
0.0047326,1.1226,0,0.022242,6423,1,1.312,87.312,31,0
0.0045528,1.1277,0,0.022217,6423,1,1.328,87.328,31,0
0.004373,1.1328,0,0.022192,6423,1,1.344,87.344,31,0
0.0041933,1.1378,0,0.022166,6423,1,1.36,87.36,31,0
0.0040135,1.1429,0,0.022141,6423,1,1.376,87.376,31,0
0.0038165,1.1477,0,0.022113,8606,1,1.392,87.392,31,0
0.0035661,1.1517,0,0.022073,8606,1,1.408,87.408,31,0
0.0033156,1.1557,0,0.022033,8606,1,1.424,87.424,31,0
0.0030652,1.1596,0,0.021994,8606,1,1.44,87.44,31,0
0.0028148,1.1636,0,0.021954,8606,1,1.456,87.456,31,0
0.0025644,1.1676,0,0.021914,8606,1,1.472,87.472,31,0
0.002314,1.1716,0,0.021875,8606,1,1.488,87.488,31,0
0.0020636,1.1755,0,0.021835,8606,1,1.504,87.504,31,0
0.0018132,1.1795,0,0.021796,8606,1,1.52,87.52,31,0
0.0015627,1.1835,0,0.021756,8606,1,1.536,87.536,31,0
0.0013123,1.1875,0,0.021716,8606,1,1.552,87.552,31,0
0.0010619,1.1914,0,0.021677,8606,1,1.568,87.568,31,0
0.00081154,1.1954,0,0.021637,8606,1,1.584,87.584,31,0
0.00056114,1.1994,0,0.021597,8606,1,1.6,87.6,31,0
0.00031075,1.2034,0,0.021558,8606,1,1.616,87.616,31,0
6.0229e-05,1.2073,0,0.021518,8606,1,1.632,87.632,31,0
-0.00019017,1.2113,0,0.021478,8606,1,1.648,87.648,31,0
-0.00043833,1.2144,0,0.021434,6424,1,1.664,87.664,31,0
-0.00068505,1.217,0,0.021387,6424,1,1.68,87.68,31,0
-0.00093177,1.2196,0,0.02134,6424,1,1.696,87.696,31,0
-0.0011785,1.2221,0,0.021293,6424,1,1.712,87.712,31,0
-0.0014252,1.2247,0,0.021246,6424,1,1.728,87.728,31,0
-0.0016721,1.2273,0,0.021199,6424,1,1.744,87.744,31,0
-0.0019188,1.2298,0,0.021152,6424,1,1.76,87.76,31,0
-0.0021655,1.2324,0,0.021105,6424,1,1.776,87.776,31,0
-0.0024122,1.235,0,0.021058,6424,1,1.792,87.792,31,0
-0.0026589,1.2375,0,0.021011,6424,1,1.808,87.808,31,0
-0.0029056,1.2401,0,0.020964,6424,1,1.824,87.824,31,0
-0.0031524,1.2427,0,0.020917,6424,1,1.84,87.84,31,0
-0.0033992,1.2453,0,0.02087,6424,1,1.856,87.856,31,0
-0.0036459,1.2478,0,0.020823,6424,1,1.872,87.872,31,0
-0.0038926,1.2504,0,0.020776,6424,1,1.888,87.888,31,0
-0.0041394,1.253,0,0.020729,6424,1,1.904,87.904,31,0
-0.0043861,1.2555,0,0.020682,6424,1,1.92,87.92,31,0
-0.0046328,1.2581,0,0.020635,6424,1,1.936,87.936,31,0
-0.0048796,1.2607,0,0.020588,6424,1,1.952,87.952,31,0
-0.0051264,1.2632,0,0.020541,6424,1,1.968,87.968,31,0
-0.0053878,1.2654,0,0.020485,8607,1,1.984,87.984,31,0
-0.0056576,1.2673,0,0.020423,8607,1,2,88,31,0
